year,life_exp,gdp_per_capita,health_exp_gdp,health_exp_percap,pm25,urban_pop_pct,pop_65_plus_pct,unemployment,med_beds,infant_mortality,total_fertility,life_exp_next_year,gdp_per_capita_lag1,health_exp_gdp_lag1,health_exp_percap_lag1,pm25_lag1,urban_pop_pct_lag1,pop_65_plus_pct_lag1,unemployment_lag1,med_beds_lag1,infant_mortality_lag1,total_fertility_lag1,gdp_per_capita_pct_change,health_exp_gdp_pct_change,health_exp_percap_pct_change,pm25_pct_change,urban_pop_pct_pct_change,pop_65_plus_pct_pct_change,unemployment_pct_change,med_beds_pct_change,infant_mortality_pct_change,total_fertility_pct_change
1995,70.363,1545.19429404212,4.47202611,261.947921755,48.8805895286948,29.0403804779053,6.05307366965255,3.0,2.6099998951,38.7,1.588,70.823,4811.47471804961,4.47202611,261.947921755,49.6573356023741,46.9895057678223,8.35535290441098,4.52,2.5499999523,14.8,1.624,0.07734180164793036,0.007646057479390622,0.1270807336964619,0.0,0.028776628575848173,0.02841108310167839,0.004415011037527394,0.040000000000000036,-0.07913669064748197,0.0019193857965451588
1996,70.823,1681.62743528935,4.47202611,261.947921755,49.0813804747361,30.4798641204834,6.22504804870163,3.12,2.5499999523,37.2,1.554,71.227,1545.19429404212,4.47202611,261.947921755,48.8805895286948,29.0403804779053,6.05307366965255,3.0,2.6099998951,38.7,1.588,0.08829513658785948,0.0,0.0,0.004107784868744968,0.04956834651919584,0.02841108310167839,0.040000000000000036,-0.02298848475536097,-0.03875968992248058,-0.021410579345088165
1997,71.227,1819.09789302268,4.47202611,261.947921755,49.3486255923044,31.9099540710449,6.4010690329891,3.23,2.5499999523,35.6,1.527,71.601,1681.62743528935,4.47202611,261.947921755,49.0813804747361,30.4798641204834,6.22504804870163,3.12,2.5499999523,37.2,1.554,0.08174846273822611,0.0,0.0,0.005444938895022844,0.046919170797760756,0.028276245084434715,0.03525641025641013,0.0,-0.043010752688172116,-0.01737451737451745
1998,71.601,1944.43719705771,4.47202611,261.947921755,49.6573356023741,33.3501663208008,6.60294649523664,3.24,2.5299999714,33.8,1.522,71.952,1819.09789302268,4.47202611,261.947921755,49.3486255923044,31.9099540710449,6.4010690329891,3.23,2.5499999523,35.6,1.527,0.06890190160506515,0.0,0.0,0.006255696209659822,0.04513363593533826,0.03153808546777537,0.003095975232198178,-0.007843129911418445,-0.05056179775280911,-0.0032743942370661028
1999,71.952,2076.81812919622,4.47202611,261.947921755,49.9825212259198,34.7797050476074,6.8145142714138,3.25,2.5199999809,31.9,1.53,72.288,1944.43719705771,4.47202611,261.947921755,49.6573356023741,33.3501663208008,6.60294649523664,3.24,2.5299999714,33.8,1.522,0.06808187599930027,0.0,0.0,0.006548591856590624,0.04286451566854654,0.032041419134591465,0.0030864197530864335,-0.0039525654597009074,-0.056213017751479244,0.005256241787122251
2000,72.288,2237.44298500334,4.4535861,42.80797577,50.299193183916,36.4320234662299,7.01747574076251,3.26,1.71,30.0,1.628,72.675,2076.81812919622,4.47202611,261.947921755,49.9825212259198,34.7797050476074,6.8145142714138,3.25,2.5199999809,31.9,1.53,0.07734180164793036,-0.0041234128662097635,-0.836578295856692,0.006335653949204767,0.04750812050765707,0.029783703029299335,0.003076923076922977,-0.3214285662854308,-0.059561128526645746,0.06405228758169934
2001,72.675,2405.89396743215,4.19752026,44.36042023,50.6280489574036,37.6597442626953,7.21351682273765,3.8,1.69,27.8,1.563,73.034,2237.44298500334,4.4535861,42.80797577,50.299193183916,36.4320234662299,7.01747574076251,3.26,1.71,30.0,1.628,0.07528727371283561,-0.05749655092555628,0.03626530879060996,0.006537993010845122,0.033698946137411534,0.02793612535578749,0.16564417177914104,-0.011695906432748537,-0.07333333333333336,-0.03992628992628988
2002,73.034,2610.72960252379,4.32156181,49.92394638,50.9679256961335,39.0897827148438,7.40162875834336,4.24,1.73,25.6,1.566,73.385,2405.89396743215,4.19752026,44.36042023,50.6280489574036,37.6597442626953,7.21351682273765,3.8,1.69,27.8,1.563,0.08513909501600536,0.029551149801954724,0.12541644378376526,0.006713210280251181,0.03797260125223567,0.02607770110312413,0.11578947368421066,0.02366863905325456,-0.07913669064748197,0.0019193857965451588
2003,73.385,2857.0373538115,4.35460472,56.54468155,51.2610436241453,40.5302314758301,7.57962663220469,4.58,1.75,23.5,1.57,73.727,2610.72960252379,4.32156181,49.92394638,50.9679256961335,39.0897827148438,7.40162875834336,4.24,1.73,25.6,1.566,0.09434441278392236,0.007646057479390622,0.1326164225801736,0.005751027219733196,0.036849751033261935,0.02404847360936402,0.08018867924528306,0.011560693641618602,-0.08203125,0.0025542784163474774
2004,73.727,3127.86276523632,4.22949076,64.28150177,51.4496229654785,41.7600135803223,7.73725110121901,4.49,1.82,21.3,1.605,74.085,2857.0373538115,4.35460472,56.54468155,51.2610436241453,40.5302314758301,7.57962663220469,4.58,1.75,23.5,1.57,0.09479239431837261,-0.02873141606294871,0.13682666535417076,0.003678804175659911,0.030342341006011075,0.02079580916883117,-0.01965065502183405,0.040000000000000036,-0.09361702127659577,0.022292993630573132
2005,74.085,3465.81734409951,4.11230803,73.00266266,51.4758839441727,42.9899978637695,7.88962840533466,4.52,1.87,19.4,1.624,74.404,3127.86276523632,4.22949076,64.28150177,51.4496229654785,41.7600135803223,7.73725110121901,4.49,1.82,21.3,1.605,0.10804648548500406,-0.027706108524516493,0.1356713930113893,0.0005104212077866599,0.02945363705597015,0.01969398461058658,0.006681514476614581,0.027472527472527597,-0.08920187793427237,0.011838006230529663
2006,74.404,3883.35412942474,3.88655019,82.48256683,50.9696705667541,44.3430099487305,8.05386346846253,4.43,1.94,17.7,1.644,74.789,3465.81734409951,4.11230803,73.00266266,51.4758839441727,42.9899978637695,7.88962840533466,4.52,1.87,19.4,1.624,0.12047281892569406,-0.054898086026887505,0.1298569644528087,-0.009833990961041317,0.031472718125005184,0.020816577751218368,-0.019911504424778736,0.03743315508021383,-0.08762886597938147,0.01231527093596041
2007,74.789,4409.75700836878,3.61737728,98.5569458,49.8862602874654,45.8892440795898,8.21258625792709,4.35,2.02,16.1,1.666,74.833,3883.35412942474,3.88655019,82.48256683,50.9696705667541,44.3430099487305,8.05386346846253,4.43,1.94,17.7,1.644,0.13555366350841092,-0.06925754122321004,0.19488213798110765,-0.02125597962948922,0.03486985057277492,0.01970765832896082,-0.018058690744921058,0.04123711340206193,-0.09039548022598853,0.01338199513381988
2008,74.833,4811.47471804961,3.83627748,133.83999634,48.6560235019206,46.9895057678223,8.35535290441098,4.59,2.16,14.8,1.701,75.317,4409.75700836878,3.61737728,98.5569458,49.8862602874654,45.8892440795898,8.21258625792709,4.35,2.02,16.1,1.666,0.09109747065846374,0.06051351104853531,0.3579965902311881,-0.02466083403437458,0.023976461375659675,0.017383883955689017,0.05517241379310356,0.06930693069306937,-0.08074534161490687,0.021008403361344685
2009,75.317,5237.76666540352,4.27631998,164.87619019,47.7093306057335,48.3417053222656,8.49817888668038,4.72,2.32,13.6,1.714,75.668,4811.47471804961,3.83627748,133.83999634,48.6560235019206,46.9895057678223,8.35535290441098,4.59,2.16,14.8,1.701,0.0885990205362055,0.11470559736466202,0.23189027718707722,-0.019456848876064248,0.028776628575848173,0.017093949699479305,0.028322440087146017,0.07407407407407396,-0.08108108108108114,0.007642563198118735
2010,75.668,5764.86534987407,4.15821123,188.87156677,47.4765519945183,49.2340270628041,8.66147143784386,4.53,2.51,12.5,1.687,75.889,5237.76666540352,4.27631998,164.87619019,47.7093306057335,48.3417053222656,8.49817888668038,4.72,2.32,13.6,1.714,0.10063424320753733,-0.027619249857911754,0.1455357292787285,-0.004879100340745901,0.01845863182918195,0.019215005160625243,-0.040254237288135486,0.0818965517241379,-0.0808823529411764,-0.01575262543757283
2011,75.889,6275.90956436258,4.26719379,239.19824219,51.34994369566,51.8300285339355,8.85916872860311,4.55,2.72,11.5,1.668,76.2,5764.86534987407,4.15821123,188.87156677,47.4765519945183,49.2340270628041,8.66147143784386,4.53,2.51,12.5,1.687,0.08864807475506309,0.026209000450417408,0.2664597762419463,0.08158536242456971,0.052727790635932914,0.02282490823619976,0.004415011037527394,0.08366533864541847,-0.07999999999999996,-0.01126259632483706
2012,76.2,6723.19443752823,4.49046612,284.69760132,48.1207251131123,53.1003112792969,9.08920186808881,4.58,3.04,10.5,1.798,76.452,6275.90956436258,4.26719379,239.19824219,51.34994369566,51.8300285339355,8.85916872860311,4.55,2.72,11.5,1.668,0.07127012723470938,0.05232298812470848,0.1902161099238302,-0.06288650678346563,0.024508625237003256,0.025965544458252054,0.00659340659340657,0.11764705882352944,-0.08695652173913049,0.0779376498800961
2013,76.452,7198.06876478162,4.63882637,329.08572388,58.4662215596184,54.4900016784668,9.3562686156071,4.6,3.32,9.7,1.714,76.714,6723.19443752823,4.49046612,284.69760132,48.1207251131123,53.1003112792969,9.08920186808881,4.58,3.04,10.5,1.798,0.07063224657057177,0.033038942068668975,0.15591322987687484,0.21499045208042955,0.0261710405398643,0.029382860166845992,0.004366812227074135,0.09210526315789469,-0.07619047619047625,-0.04671857619577313
2014,76.714,7686.57792954381,4.69880247,362.28695679,54.5688342973092,55.7502555847168,9.6661987378912,4.63,3.57,8.9,1.769,76.975,7198.06876478162,4.63882637,329.08572388,58.4662215596184,54.4900016784668,9.3562686156071,4.6,3.32,9.7,1.714,0.06786669879459128,0.012929153888551426,0.10088931394090705,-0.06666049486941794,0.023128167873557315,0.033125398063829525,0.006521739130434856,0.07530120481927716,-0.08247422680412364,0.032088681446907685
2015,76.975,8175.33285077393,4.85367584,393.09768677,50.832537964484,57.3297843933105,10.053420914992,4.65,3.82,8.2,1.67,77.214,7686.57792954381,4.69880247,362.28695679,54.5688342973092,55.7502555847168,9.6661987378912,4.63,3.57,8.9,1.769,0.06358550263981089,0.03296017889426195,0.08504509865051402,-0.0684694181383575,0.028332225422598833,0.04005940572925537,0.004319654427645814,0.07002801120448177,-0.07865168539325851,-0.055963821368004485
2016,77.214,8679.37704460133,4.88338089,398.17489624,46.8324682508133,58.8399238586426,10.4907994645602,4.56,4.05,7.6,1.772,77.235,8175.33285077393,4.85367584,393.09768677,50.832537964484,57.3297843933105,10.053420914992,4.65,3.82,8.2,1.67,0.061654271823279094,0.006120114111287656,0.01291589760224321,-0.07869112725525318,0.026341272365020707,0.04350544488950692,-0.01935483870967758,0.060209424083769614,-0.07317073170731703,0.061077844311377305
2017,77.235,9221.51403820573,4.9695034,439.94006348,45.8369336166997,60.2402687072754,10.9809606634325,4.47,4.33,7.0,1.795,77.709,8679.37704460133,4.88338089,398.17489624,46.8324682508133,58.8399238586426,10.4907994645602,4.56,4.05,7.6,1.772,0.06246266187290672,0.01763583712594663,0.10489151283617337,-0.021257359932044695,0.023799229448307813,0.046722959534986064,-0.019736842105263164,0.06913580246913598,-0.07894736842105254,0.012979683972911937
2018,77.709,9798.6528523316,5.06933308,504.10980225,40.2663875187565,61.5001983642578,11.5162092042497,4.31,4.59,6.4,1.539,77.94,9221.51403820573,4.9695034,439.94006348,45.8369336166997,60.2402687072754,10.9809606634325,4.47,4.33,7.0,1.795,0.0625861232477356,0.02008846195778835,0.14586018436785797,-0.12152964123921439,0.02091507365454759,0.04874332558166983,-0.03579418344519014,0.06004618937644346,-0.08571428571428563,-0.14261838440111418
2019,77.94,10356.4804194995,5.26516867,538.99157715,37.5475753654351,62.7099151611328,12.0613659717192,4.56,4.82,6.0,1.496,78.019,9798.6528523316,5.06933308,504.10980225,40.2663875187565,61.5001983642578,11.5162092042497,4.31,4.59,6.4,1.539,0.05692900601485884,0.03863143078379072,0.06919479594388322,-0.06752063745611525,0.019670128374383422,0.04733821327840482,0.058004640371229765,0.050108932461873756,-0.0625,-0.027940220922677006
2020,78.019,10573.6420059282,5.50441837,582.95092773,34.8105237153218,63.5234230266258,12.6452376078587,5.0,5.0,5.5,1.236,78.117,10356.4804194995,5.26516867,538.99157715,37.5475753654351,62.7099151611328,12.0613659717192,4.56,4.82,6.0,1.496,0.020968666731588037,0.045440082739077736,0.08155851119685709,-0.07289556312157852,0.012972555670067498,0.048408417214810484,0.09649122807017552,0.03734439834024883,-0.08333333333333337,-0.1737967914438503
2021,78.117,11469.5707134928,5.25590324,670.25897217,34.8105237153218,64.721076965332,13.2057410345267,4.55,5.2,5.1,1.117,78.202,10573.6420059282,5.50441837,582.95092773,34.8105237153218,63.5234230266258,12.6452376078587,5.0,5.0,5.5,1.236,0.08473227172456643,-0.04514829965586342,0.1497691148378062,0.0,0.01885373743483898,0.044325258571626946,-0.09000000000000008,0.040000000000000036,-0.07272727272727275,-0.09627831715210355
2022,78.202,11830.5983703496,5.88078785,755.43597412,34.8105237153218,65.2176361083984,13.781930345649,4.98,5.38,4.8,1.034,77.953,11469.5707134928,5.25590324,670.25897217,34.8105237153218,64.721076965332,13.2057410345267,4.55,5.2,5.1,1.117,0.031476998213375795,0.1188919547156655,0.1270807336964619,0.0,0.0076722941945539525,0.043631728777343115,0.09450549450549461,0.03461538461538449,-0.05882352941176472,-0.07430617726051925
